epoch,train_loss,val_loss,train_accuracy,val_accuracy
1,0.5807542671144067,0.6375139723453929,0.6950146627565983,0.6754385964912281
2,0.5582391003480803,0.6168476051579663,0.7155425219941349,0.7017543859649122
3,0.5375965919286311,0.5977444914060805,0.7272727272727273,0.7105263157894737
4,0.5185350998912925,0.5801056867801943,0.7419354838709677,0.7280701754385965
5,0.5009931108496247,0.5637588696198049,0.7683284457478006,0.7280701754385965
6,0.48492399276159043,0.5486299320867364,0.7771260997067448,0.7280701754385965
7,0.47008795328632313,0.5345649517603974,0.7917888563049853,0.7280701754385965
8,0.4563983893524532,0.5214367099899728,0.8035190615835777,0.7280701754385965
9,0.4437015045620116,0.5092133352584641,0.8093841642228738,0.7543859649122807
10,0.43192213931862355,0.4978098936777135,0.8123167155425219,0.7807017543859649
11,0.420916945873272,0.48712339331647775,0.8211143695014663,0.7807017543859649
12,0.4106229307342302,0.4770921052166946,0.8299120234604106,0.7807017543859649
13,0.40099974546844525,0.4676591672524436,0.8357771260997068,0.7894736842105263
14,0.39198812013747625,0.4587888507448033,0.844574780058651,0.8070175438596491
15,0.3835041373914617,0.45036686775668655,0.8504398826979472,0.8245614035087719
16,0.37548245327319135,0.4423631651908039,0.8592375366568915,0.8245614035087719
17,0.36792316700979055,0.43480714814084176,0.8680351906158358,0.8333333333333334
18,0.36076117322913465,0.4276326813843432,0.8768328445747801,0.8333333333333334
19,0.35398257918883014,0.42082797076294653,0.8768328445747801,0.8333333333333334
20,0.34755421008784787,0.41434935468538786,0.8856304985337243,0.8333333333333334
21,0.34146526007539946,0.40819232072748507,0.8856304985337243,0.8333333333333334
22,0.3356497263900248,0.4023083999625569,0.8914956011730205,0.8333333333333334
23,0.33010413552944806,0.39668552500745047,0.8914956011730205,0.8333333333333334
24,0.3247854005540145,0.3912805875478225,0.8944281524926686,0.8333333333333334
25,0.3197060189783563,0.3861050939610408,0.8973607038123167,0.8421052631578947
26,0.3148607550017444,0.3811478957317998,0.9032258064516129,0.8508771929824561
