model,backend,accuracy,balanced_accuracy,precision,recall,f1,validation_accuracy,train_accuracy,n_steps,hidden_layers,standardize,batch_size,l2_lambda,parameter_count
manual_deeper_regularized,numpy,0.9385964912280702,0.9315476190476191,0.9452054794520548,0.9583333333333334,0.9517241379310345,0.9824561403508771,0.9970674486803519,1500,12-6,True,32,0.001,457
manual_improved_baseline,numpy,0.9298245614035088,0.9097222222222223,0.9102564102564102,0.9861111111111112,0.9466666666666667,0.9912280701754386,0.9853372434017595,1000,6,True,full,0.0,193
manual_lab_baseline,numpy,0.631578947368421,0.5,0.631578947368421,1.0,0.7741935483870968,0.6228070175438597,0.6275659824046921,500,6,False,full,0.0,193
